id	Name	id_sub	Town	Prefecture	lat	long	facility type	corroboration level	ETNAM 	Shawn Zhang list	Shawn Zhang #	ASPI 2020 #	XJVDB	Media reports	Researchers	Links	Links 2	Links 3	Links 4
827	Yengisar - III		Yengisar	Kashgar	38.9373101815992	76.1706918057359	detention center	Satellite - strong	P_QE08			299							
828			Makit	Kashgar	38.8794029177188	77.5610773990866		Pre-2016 programme	P_QE18										
829	Zepu - III		Zepu	Kashgar	38.1978848539264	77.2604963567841		Pre-2016 programme	P_QE22										
830	Artux - VI		Artux	Kizilsu	39.7010400316131	76.1803285454683		Pre-2016 programme - detention centre	P_AR01										
831	Hotan City - III		Hotan City	Hotan	37.1060170864388	79.936183136437		Pre-2016 programme - detention centre	P_HO01										
832	Hotan City - IV		Hotan City	Hotan	37.185739695739	79.9260017765268	detention center	Satellite - strong	P_HO05										
834	Pishan - II	A	Pishan	Hotan	37.5823085231945	78.2848446257574	detention center	Satellite - strong	P_HO12			304							
835	Minfeng - III		Minfeng	Hotan	37.0636002512216	82.6794453027141		Pre-2016 programme	P_HO17										
836			Aksu	Aksu	41.1529580093837	80.221024388977		Pre-2016 programme	P_AQ01										
837			Aksu	Aksu	41.1548250881419	80.2203645655594		Pre-2016 programme	P_AQ02										
838			Aksu	Aksu	41.1495624270377	80.2150078160899		Pre-2016 programme	P_AQ03										
839	Aksu - V		Aksu	Aksu	41.1899195133176	80.2531656631553		Pre-2016 programme - detention centre	P_AQ04										
840	Aksu - III		Aksu	Aksu	41.0091430769315	80.4224993202653	prison - medium security	Satellite - strong	P_AQ05			289							
841	Korla - VII		Korla	Bayingolin	41.7746075074759	86.1174940054204		Pre-2016 programme - detention centre	P_KO01										
842	Korla - VI		Korla	Bayingolin	41.7749824986994	86.106498286641	camp	Satellite - strong	P_KO02										
843	Tiemenguan - IV		Tiemenguan	XPCC	41.7964045304384	85.8928481365747	prison - medium security	Satellite - strong	P_KO03, C_KO02 			1							
844			Tiemenguan	XPCC	41.764177429458	85.9110091262203		Pre-2016 programme	P_KO04										
845	Luntai - II		Luntai	Bayingolin	41.7754602771817	84.255187254876		Pre-2016 programme - detention centre	P_KO10										
846	Yanqi - II	A	Yanqi	Bayingolin	42.0486591891039	86.5478580907336	detention center	Satellite - strong	P_KO13			283							
847			Yanqi	Bayingolin	41.9438321423181	86.4203375434411		Pre-2016 programme	P_KO14										
848	Hejing - II		Hejing	Bayingolin	42.3136541881837	86.4037326388893		Pre-2016 programme - detention centre	P_KO16										
849	Qiemo - II		Qiemo	Bayingolin	38.1374395786854	85.5232723333763		Pre-2016 programme - detention centre	P_KO18										
850	Ruoqiang - II		Ruoqiang	Bayingolin	39.0206456998527	88.1606837952143		Pre-2016 programme - detention centre	P_KO20										
851	Toksun - II		Toksun	Turpan	42.7828339701859	88.6417436851045		Pre-2016 programme - detention centre	P_TU03										
852	Yizhou - III		Yizhou	Hami	42.8240065027058	93.5323346359179		Pre-2016 programme	P_QU01										
853	Yizhou - IV		Yizhou	Hami	42.9177669061532	93.4151294439547	detention center	Satellite - strong	P_QU03			379							
854	Yiwu - II	A	Yiwu	Hami	43.2312580922307	94.6611154793805	camp	Satellite - strong				332							
855	Yiwu - I		Yiwu	Hami	43.2510619922021	94.688757328211	detention center	closed	P_QU06										
856	Yining City - V		Yining City	Ili	43.9217881500486	81.3405509776198	prison - medium security	Satellite - strong	P_GH02			303							
857			Yining City	Ili	43.9596787922667	81.2973796461505		Pre-2016 programme	P_GH04										
